PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=382 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=448 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=463 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=355 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=176 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=120 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=366 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=349 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=260 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=193 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=85.1 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=8.19 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=236 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=91.5 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=103 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=82.0 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=178 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=73.8 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=109 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=68.7 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=9.31 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=33.6 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=4.39 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=14.7 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=160 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=96.1 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=128 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=50.2 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=6.32 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=20.0 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=137 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=209 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=168 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=63.8 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=88.9 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=5.21 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=7.61 ms
