PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=2996 ms
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=2893 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=2960 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=2912 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=2762 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=2672 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=2617 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=2522 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=2419 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=2327 ms
1408 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=2221 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=2281 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=2183 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=2074 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=1965 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=1856 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=1641 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=1532 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=1753 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=1932 ms
1408 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=2020 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=2101 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=2028 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=1904 ms
1408 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=2019 ms
1408 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=2042 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=1945 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=2053 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=1986 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=1879 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=1780 ms
1408 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=1772 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=1608 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=1500 ms
1408 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=1436 ms
1408 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=1339 ms
