PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=210 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=172 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1524 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1733 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=1727 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=1709 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=1682 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=1677 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=1578 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=1471 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=1253 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=1034 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=1006 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=909 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=795 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=718 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=666 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=479 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=395 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=297 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=286 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=294 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=200 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=101 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=7.98 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=99.9 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=499 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=5126 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=5086 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=5025 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=4975 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=4972 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=4952 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=4851 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=4742 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=4634 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=4526 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=4417 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=4308 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=4208 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=4100 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=3991 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=3900 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=3877 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=3831 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=3726 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=3624 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=3616 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=3508 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=3399 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=3290 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=3181 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=3075 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=2970 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=2930 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=2827 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=2742 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=2774 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=2665 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=2560 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=2507 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=2810 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=2705 ms
64 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=2596 ms
64 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=2494 ms
64 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=2385 ms
64 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=2345 ms
64 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=2236 ms
64 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=2127 ms
64 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=2066 ms
64 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=1958 ms
64 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=1851 ms
64 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=1743 ms
64 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=1634 ms
64 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=1534 ms
64 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=1430 ms
64 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=1575 ms
64 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=1477 ms
64 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=1377 ms
64 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=1278 ms
64 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=1178 ms
64 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=1085 ms
64 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=988 ms
64 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=890 ms
64 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=793 ms
64 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=685 ms
64 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=578 ms
64 bytes from 192.168.12.4: icmp_seq=93 ttl=64 time=470 ms
64 bytes from 192.168.12.4: icmp_seq=94 ttl=64 time=370 ms
64 bytes from 192.168.12.4: icmp_seq=95 ttl=64 time=265 ms
64 bytes from 192.168.12.4: icmp_seq=96 ttl=64 time=334 ms
64 bytes from 192.168.12.4: icmp_seq=97 ttl=64 time=226 ms
64 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=128 ms
64 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=1041 ms
64 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=942 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 95 received, 5% packet loss, time 10618ms
rtt min/avg/max/mdev = 7.986/2116.538/5126.382/1514.689 ms, pipe 47
