PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=53.0 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=136 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=402 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=453 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=373 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=265 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=332 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=228 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=384 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=387 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=180 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=182 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=350 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=283 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=207 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=113 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=24.5 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=399 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=301 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=192 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=310 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=210 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=143 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=42.9 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=173 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=366 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=269 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=159 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=49.8 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=25.1 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=26.0 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=40.8 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=20.3 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=54.1 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=18.0 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=159 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=57.6 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=60.8 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=482 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=380 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=51.5 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=15.6 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=73.8 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=34.3 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=102 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=21.0 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=7.05 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=146 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=71.4 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=69.2 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=75.4 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=155 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=45.2 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=47.9 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=150 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=98.0 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=367 ms
64 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=161 ms
64 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=53.5 ms
64 bytes from 192.168.12.4: icmp_seq=74 ttl=64 time=7.68 ms
64 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=60.5 ms
64 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=148 ms
64 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=59.5 ms
64 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=12.7 ms
64 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=27.9 ms
64 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=109 ms
64 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=28.8 ms
64 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=7.28 ms
64 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=44.2 ms
64 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=12.9 ms
64 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=12.7 ms
64 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=79.8 ms
64 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=41.6 ms
64 bytes from 192.168.12.4: icmp_seq=93 ttl=64 time=55.2 ms
64 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=55.9 ms
64 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=56.3 ms
64 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=71.3 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 77 received, 23% packet loss, time 10325ms
rtt min/avg/max/mdev = 7.055/142.149/482.876/130.560 ms, pipe 5
