PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=150 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=126 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=92.6 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=390 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=288 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=318 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=218 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=336 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=380 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=641 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=1334 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=1174 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=1115 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=679 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=664 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=557 ms
1408 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=545 ms
1408 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=542 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=475 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=396 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=410 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=478 ms
1408 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=681 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=852 ms
1408 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=763 ms
1408 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=555 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=449 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=353 ms
1408 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=294 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=297 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=771 ms
1408 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=699 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=893 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=898 ms
1408 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=1244 ms
1408 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=487 ms
1408 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=384 ms
1408 bytes from 192.168.12.4: icmp_seq=96 ttl=64 time=239 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 38 received, 62% packet loss, time 10960ms
rtt min/avg/max/mdev = 92.613/557.554/1334.977/305.562 ms, pipe 13
