PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=346 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=342 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=233 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=124 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=39.4 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=449 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=1760 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=1653 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=1543 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=1448 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=1348 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=1240 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=1130 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=1021 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=692 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=582 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=476 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=419 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=310 ms
64 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=228 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=119 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=19.1 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=14.0 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=5.73 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=5.41 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=22.1 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=6.55 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=8.00 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=7.60 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=15.8 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=7.22 ms
64 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=87.7 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=10.2 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=7.07 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=16.6 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=11.1 ms
64 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=15.1 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=17.2 ms
64 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=18.9 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=10.1 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=20.9 ms
64 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=8.78 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=36.0 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=6.21 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=34.2 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=5.47 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=17.2 ms
64 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=20.4 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=36.0 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=63.2 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=24.3 ms
64 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=68.8 ms
64 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=27.3 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=42.4 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=998 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=781 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=342 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=235 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=126 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=17.3 ms
64 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=12.8 ms
64 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=5.43 ms
64 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=102 ms
64 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=812 ms
64 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=684 ms
64 bytes from 192.168.12.4: icmp_seq=76 ttl=64 time=578 ms
64 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=468 ms
64 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=358 ms
64 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=249 ms
64 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=139 ms
64 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=39.8 ms
64 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=11.9 ms
64 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=13.3 ms
64 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=54.6 ms
64 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=6.46 ms
64 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=22.4 ms
64 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=5.41 ms
64 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=27.3 ms
64 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=25.2 ms
