PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=647 ms
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=1938 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=1844 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1952 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=3431 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=4430 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=4496 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=4575 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=4493 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=4544 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=4442 ms
1408 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=4338 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=4415 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=4331 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=4010 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=4104 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=4179 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=4090 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=3993 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=4087 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=3877 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=3804 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=3702 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=5345 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=5259 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=5223 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=5557 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=6004 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=5928 ms
1408 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=7237 ms
1408 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=7627 ms
1408 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=7933 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=8332 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=8246 ms
1408 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=8150 ms
1408 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=8120 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=8219 ms
1408 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=8206 ms
1408 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=8118 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=8022 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=8085 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=8055 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=7925 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=8729 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=8450 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=8488 ms
1408 bytes from 192.168.12.4: icmp_seq=77 ttl=64 time=6727 ms
1408 bytes from 192.168.12.4: icmp_seq=78 ttl=64 time=6631 ms
1408 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=6534 ms
1408 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=6521 ms
1408 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=6439 ms
1408 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=6148 ms
1408 bytes from 192.168.12.4: icmp_seq=85 ttl=64 time=6160 ms
1408 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=6160 ms
1408 bytes from 192.168.12.4: icmp_seq=87 ttl=64 time=7084 ms
1408 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=7122 ms
1408 bytes from 192.168.12.4: icmp_seq=89 ttl=64 time=7033 ms
1408 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=7081 ms
1408 bytes from 192.168.12.4: icmp_seq=91 ttl=64 time=7026 ms
1408 bytes from 192.168.12.4: icmp_seq=92 ttl=64 time=7311 ms
1408 bytes from 192.168.12.4: icmp_seq=95 ttl=64 time=8037 ms
1408 bytes from 192.168.12.4: icmp_seq=97 ttl=64 time=7847 ms
1408 bytes from 192.168.12.4: icmp_seq=98 ttl=64 time=7983 ms
1408 bytes from 192.168.12.4: icmp_seq=99 ttl=64 time=8263 ms
1408 bytes from 192.168.12.4: icmp_seq=100 ttl=64 time=9304 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 65 received, 35% packet loss, time 10789ms
rtt min/avg/max/mdev = 647.743/6037.315/9304.325/2000.328 ms, pipe 61
