PING 192.168.12.4 (192.168.12.4) 56(84) bytes of data.
64 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=480 ms
64 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=1189 ms
64 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=1194 ms
64 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=1086 ms
64 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=1006 ms
64 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=1149 ms
64 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=1043 ms
64 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=999 ms
64 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=933 ms
64 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=823 ms
64 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=714 ms
64 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=613 ms
64 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=522 ms
64 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=444 ms
64 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=345 ms
64 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=598 ms
64 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=585 ms
64 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=831 ms
64 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=783 ms
64 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=746 ms
64 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=686 ms
64 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=587 ms
64 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=378 ms
64 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=269 ms
64 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=456 ms
64 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=1531 ms
64 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=1691 ms
64 bytes from 192.168.12.4: icmp_seq=29 ttl=64 time=1589 ms
64 bytes from 192.168.12.4: icmp_seq=30 ttl=64 time=1481 ms
64 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=1434 ms
64 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=1332 ms
64 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=1298 ms
64 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=1254 ms
64 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=1095 ms
64 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=1060 ms
64 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=953 ms
64 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=847 ms
64 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=627 ms
64 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=418 ms
64 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=318 ms
64 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=219 ms
64 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=20.9 ms
64 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=116 ms
64 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=32.6 ms
64 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=26.9 ms
64 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=24.9 ms
64 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=24.6 ms
64 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=29.1 ms
64 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=55.5 ms
64 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=5.57 ms
64 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=11.2 ms
64 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=7.80 ms
64 bytes from 192.168.12.4: icmp_seq=61 ttl=64 time=6.24 ms
64 bytes from 192.168.12.4: icmp_seq=62 ttl=64 time=24.4 ms
64 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=16.1 ms
64 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=41.4 ms
64 bytes from 192.168.12.4: icmp_seq=65 ttl=64 time=13.3 ms
64 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=35.0 ms
64 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=6.20 ms
64 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=117 ms
64 bytes from 192.168.12.4: icmp_seq=69 ttl=64 time=146 ms
