PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=2 ttl=64 time=23.2 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=53.7 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=30.8 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=38.0 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=22.2 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=189 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=200 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=101 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=10.6 ms
1408 bytes from 192.168.12.4: icmp_seq=12 ttl=64 time=29.3 ms
1408 bytes from 192.168.12.4: icmp_seq=13 ttl=64 time=12.1 ms
1408 bytes from 192.168.12.4: icmp_seq=14 ttl=64 time=17.3 ms
1408 bytes from 192.168.12.4: icmp_seq=15 ttl=64 time=67.2 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=154 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=94.4 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=30.0 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=65.1 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=8.04 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=247 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=437 ms
1408 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=828 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=871 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=811 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=603 ms
1408 bytes from 192.168.12.4: icmp_seq=31 ttl=64 time=277 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=167 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=221 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=627 ms
1408 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=718 ms
1408 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=922 ms
1408 bytes from 192.168.12.4: icmp_seq=38 ttl=64 time=980 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=892 ms
1408 bytes from 192.168.12.4: icmp_seq=40 ttl=64 time=856 ms
1408 bytes from 192.168.12.4: icmp_seq=41 ttl=64 time=770 ms
1408 bytes from 192.168.12.4: icmp_seq=42 ttl=64 time=718 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=697 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=602 ms
1408 bytes from 192.168.12.4: icmp_seq=45 ttl=64 time=597 ms
1408 bytes from 192.168.12.4: icmp_seq=46 ttl=64 time=728 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=688 ms
1408 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=598 ms
1408 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=573 ms
1408 bytes from 192.168.12.4: icmp_seq=50 ttl=64 time=484 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=579 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=507 ms
1408 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=453 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=486 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=551 ms
1408 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=361 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 49 received, 51% packet loss, time 10524ms
rtt min/avg/max/mdev = 8.045/408.445/980.126/313.113 ms, pipe 10
