PING 192.168.12.4 (192.168.12.4) 1400(1428) bytes of data.
1408 bytes from 192.168.12.4: icmp_seq=1 ttl=64 time=185 ms
1408 bytes from 192.168.12.4: icmp_seq=3 ttl=64 time=44.9 ms
1408 bytes from 192.168.12.4: icmp_seq=4 ttl=64 time=29.6 ms
1408 bytes from 192.168.12.4: icmp_seq=5 ttl=64 time=55.4 ms
1408 bytes from 192.168.12.4: icmp_seq=6 ttl=64 time=35.6 ms
1408 bytes from 192.168.12.4: icmp_seq=7 ttl=64 time=48.2 ms
1408 bytes from 192.168.12.4: icmp_seq=8 ttl=64 time=45.3 ms
1408 bytes from 192.168.12.4: icmp_seq=9 ttl=64 time=40.4 ms
1408 bytes from 192.168.12.4: icmp_seq=10 ttl=64 time=222 ms
1408 bytes from 192.168.12.4: icmp_seq=11 ttl=64 time=122 ms
1408 bytes from 192.168.12.4: icmp_seq=16 ttl=64 time=289 ms
1408 bytes from 192.168.12.4: icmp_seq=17 ttl=64 time=980 ms
1408 bytes from 192.168.12.4: icmp_seq=18 ttl=64 time=890 ms
1408 bytes from 192.168.12.4: icmp_seq=19 ttl=64 time=916 ms
1408 bytes from 192.168.12.4: icmp_seq=20 ttl=64 time=1464 ms
1408 bytes from 192.168.12.4: icmp_seq=21 ttl=64 time=1369 ms
1408 bytes from 192.168.12.4: icmp_seq=22 ttl=64 time=1265 ms
1408 bytes from 192.168.12.4: icmp_seq=23 ttl=64 time=1177 ms
1408 bytes from 192.168.12.4: icmp_seq=24 ttl=64 time=1078 ms
1408 bytes from 192.168.12.4: icmp_seq=25 ttl=64 time=1273 ms
1408 bytes from 192.168.12.4: icmp_seq=26 ttl=64 time=1165 ms
1408 bytes from 192.168.12.4: icmp_seq=27 ttl=64 time=1155 ms
1408 bytes from 192.168.12.4: icmp_seq=28 ttl=64 time=1217 ms
1408 bytes from 192.168.12.4: icmp_seq=32 ttl=64 time=2681 ms
1408 bytes from 192.168.12.4: icmp_seq=33 ttl=64 time=2762 ms
1408 bytes from 192.168.12.4: icmp_seq=34 ttl=64 time=3441 ms
1408 bytes from 192.168.12.4: icmp_seq=35 ttl=64 time=3341 ms
1408 bytes from 192.168.12.4: icmp_seq=36 ttl=64 time=3695 ms
1408 bytes from 192.168.12.4: icmp_seq=37 ttl=64 time=4769 ms
1408 bytes from 192.168.12.4: icmp_seq=39 ttl=64 time=7048 ms
1408 bytes from 192.168.12.4: icmp_seq=43 ttl=64 time=10511 ms
1408 bytes from 192.168.12.4: icmp_seq=44 ttl=64 time=10433 ms
1408 bytes from 192.168.12.4: icmp_seq=47 ttl=64 time=11102 ms
1408 bytes from 192.168.12.4: icmp_seq=48 ttl=64 time=10993 ms
1408 bytes from 192.168.12.4: icmp_seq=49 ttl=64 time=10884 ms
1408 bytes from 192.168.12.4: icmp_seq=51 ttl=64 time=10667 ms
1408 bytes from 192.168.12.4: icmp_seq=52 ttl=64 time=10559 ms
1408 bytes from 192.168.12.4: icmp_seq=53 ttl=64 time=10450 ms
1408 bytes from 192.168.12.4: icmp_seq=54 ttl=64 time=10349 ms
1408 bytes from 192.168.12.4: icmp_seq=55 ttl=64 time=10365 ms
1408 bytes from 192.168.12.4: icmp_seq=56 ttl=64 time=10405 ms
1408 bytes from 192.168.12.4: icmp_seq=57 ttl=64 time=10406 ms
1408 bytes from 192.168.12.4: icmp_seq=58 ttl=64 time=10313 ms
1408 bytes from 192.168.12.4: icmp_seq=59 ttl=64 time=10222 ms
1408 bytes from 192.168.12.4: icmp_seq=60 ttl=64 time=10221 ms
1408 bytes from 192.168.12.4: icmp_seq=63 ttl=64 time=9899 ms
1408 bytes from 192.168.12.4: icmp_seq=64 ttl=64 time=9801 ms
1408 bytes from 192.168.12.4: icmp_seq=66 ttl=64 time=10031 ms
1408 bytes from 192.168.12.4: icmp_seq=67 ttl=64 time=10151 ms
1408 bytes from 192.168.12.4: icmp_seq=68 ttl=64 time=10056 ms
1408 bytes from 192.168.12.4: icmp_seq=70 ttl=64 time=10239 ms
1408 bytes from 192.168.12.4: icmp_seq=71 ttl=64 time=10218 ms
1408 bytes from 192.168.12.4: icmp_seq=72 ttl=64 time=10112 ms
1408 bytes from 192.168.12.4: icmp_seq=73 ttl=64 time=10012 ms
1408 bytes from 192.168.12.4: icmp_seq=75 ttl=64 time=9795 ms
1408 bytes from 192.168.12.4: icmp_seq=79 ttl=64 time=9751 ms
1408 bytes from 192.168.12.4: icmp_seq=80 ttl=64 time=9646 ms
1408 bytes from 192.168.12.4: icmp_seq=81 ttl=64 time=9543 ms
1408 bytes from 192.168.12.4: icmp_seq=82 ttl=64 time=9443 ms
1408 bytes from 192.168.12.4: icmp_seq=83 ttl=64 time=9360 ms
1408 bytes from 192.168.12.4: icmp_seq=84 ttl=64 time=9253 ms
1408 bytes from 192.168.12.4: icmp_seq=86 ttl=64 time=9066 ms
1408 bytes from 192.168.12.4: icmp_seq=88 ttl=64 time=10417 ms
1408 bytes from 192.168.12.4: icmp_seq=90 ttl=64 time=10475 ms

--- 192.168.12.4 ping statistics ---
100 packets transmitted, 64 received, 36% packet loss, time 10670ms
rtt min/avg/max/mdev = 29.682/6062.186/11102.054/4507.505 ms, pipe 62
